id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
155305,Cottage! BonPaul + Sharky's Hostel,746673,BonPaul,,28806,35.57864,-82.59578,Entire home/apt,89,1,445,2025-02-16,2.68,8,254,22,
197263,Tranquil Room & Private Bath,961396,Timothy,,28806,35.57735,-82.63804,Private room,49,2,87,2024-09-08,0.57,2,88,8,
209068,Terrace Cottage,1029919,Kevin,,28804,35.61736,-82.55074,Entire home/apt,110,30,66,2024-09-30,0.40,1,233,3,
246315,Asheville Dreamer's Cabin,1292070,Annie,,28805,35.59615,-82.50635,Private room,80,7,53,2019-10-30,0.33,3,62,0,
314540,Asheville Urban Farmhouse Entire Home 4.6 mi to DT,381660,Tom,,28806,35.58561,-82.62731,Entire home/apt,224,1,31,2025-01-20,0.20,1,0,12,
427497,Luxurious Mountain Guest Suite Apartment,1909922,Milan,,28803,35.49088,-82.48602,Entire home/apt,148,2,47,2023-09-04,0.31,1,359,0,
436476,"8 min Walk to DT AVL! Hip, Chic % Sparkling CLEAN",478398,Heidi,,28801,35.60153,-82.5604,Entire home/apt,,2,410,2024-06-26,2.64,3,0,16,
483384,"Romantic, Moroccan-Influenced Cottage",467421,Camille,,28806,35.56921,-82.57349,Entire home/apt,106,1,814,2025-02-09,6.39,1,0,51,
621243,"The Birdhouse
Sweet suite! Downtown Roof top deck!",3079174,Molly,,28801,35.60415,-82.54893,Entire home/apt,141,30,146,2024-08-21,1.72,1,270,8,
660702,Cozy Asheville Retreat,3335271,Brady,,28804,35.621288,-82.553017,Entire home/apt,59,1,807,2025-02-19,7.30,1,0,44,
674894,Lovely mountain home with a view!,614610,Linda,,28805,35.62277,-82.50258,Private room,54,2,257,2024-05-27,1.78,2,360,2,
723349,#2 Blue Ridge Room at Oakland Cottage B&B,3736218,Mary,,28801,35.57468,-82.55705,Private room,242,2,14,2022-11-27,0.11,7,276,0,
815068,"Lovely cottage 10 minutes north, quiet.",1111171,Tom,,28804,35.64371,-82.52456,Entire home/apt,67,30,312,2023-10-31,2.09,1,130,0,
840696,❤VIEWS! Luxury home near DOWNTOWN close 2 Biltmore,4390477,Michael,,28801,35.58371,-82.56111,Entire home/apt,219,2,598,2025-02-23,4.03,1,359,25,
846221,Town and Mountain Peaceful Retreat,4418555,Bart,,28804,35.643550872802734,-82.51139831542969,Entire home/apt,168,2,125,2024-07-28,0.86,1,0,1,
875735,Asheville artist  bungalow. 3 minutes to downtown,4632589,Jason,,28805,35.58513,-82.50484,Private room,61,2,220,2024-12-08,1.55,1,362,17,
881707,West A'ville sanctuary in the trees,4664726,Jakub & Maria,,28806,35.56754,-82.59657,Entire home/apt,82,2,1067,2025-03-10,7.66,2,342,68,
942934,"""ZenShe"" ... Very Clean, Quiet and Convenient",5100332,Pat,,28806,35.57244,-82.58949,Private room,59,2,690,2025-03-11,4.72,2,171,34,
943832,"Asheville Historic Cottage, Walk To Town",5107042,Terri,,28806,35.60991,-82.57838,Entire home/apt,180,3,157,2023-05-07,1.09,2,190,0,
976034,Urban Peace 5 ml from Downtown AVL,5340154,Ar,,28803,35.55542,-82.48316,Entire home/apt,127,2,173,2024-09-01,1.19,1,316,2,
977054,The Cottage In Asheville,4302936,Anne & Joe,,28804,35.61541,-82.55572,Entire home/apt,98,30,81,2023-10-31,0.56,1,316,0,
1039028,The Cottage on Parkway Loop,4143638,Tim And Muffi,,28803,35.55197,-82.49282,Entire home/apt,105,2,309,2024-12-26,2.16,2,262,28,
1066156,Lucky W Cottage- #1 Host in US,4834939,Jessica,,28804,35.64745,-82.51644,Entire home/apt,129,2,750,2025-02-18,5.18,2,325,45,
1127777,W Asheville Modern Meets Zen (No Cleaning Fees),6187751,Hun,,28806,35.57436,-82.59227,Private room,88,2,329,2024-05-27,2.31,1,179,3,
1297717,"Lovely, peaceful mountain retreat",614610,Linda,,28805,35.62266,-82.50397,Entire home/apt,64,2,101,2023-02-25,0.71,2,194,0,
1312301,Mid Century Modern Basement Apt..,7130739,Marta,,28805,35.58235,-82.49974,Entire home/apt,73,2,97,2024-09-30,0.68,1,335,2,
1332684,Sweet Studio - Walk West Asheville,2799158,Kari,,28806,35.58182,-82.59267,Entire home/apt,,30,512,2024-11-22,3.63,1,0,9,
1392363,Explores Retreat 2 mi to Downtown + Yard & Plants,7527127,Carlos,,28804,35.62642,-82.57905,Entire home/apt,117,2,112,2024-08-11,1.39,3,66,11,
1393012,HUGE SUITE (king bed) & huge bath-PRIVATE ACCESS,7523601,Karen,,28704,35.46248,-82.53867,Private room,70,1,142,2024-09-02,1.03,1,86,3,
1421061,Garden studio next to downtown Asheville,483350,Emilio Janusz,,28803,35.57776,-82.5369,Entire home/apt,120,2,145,2023-11-12,1.02,1,224,0,
1475299,"Comfy,  chic spotless.  Your home in Asheville",1566145,Gayle,,28804,35.64446,-82.52653,Entire home/apt,86,1,36,2025-03-09,0.26,2,231,5,
1569954,Charming cottage bordered by stream,8348149,Deborah,,28801,35.61185,-82.55216,Private room,150,30,38,2015-11-02,0.27,1,364,0,
1571095,Perfectly Located Studio Apartment In Asheville,8345942,Sherry,,28803,35.57388,-82.5385,Entire home/apt,,2,138,2024-07-22,1.37,1,0,4,
1574329,#7 Rose Room - Oakland Cottage B&B,3736218,Mary,,28801,35.57478,-82.55719,Private room,194,2,5,2021-06-29,0.05,7,290,0,
1586906,"Hidden treasure near Downtown, UNCA",5601328,Mary Stewart Haynes,,28801,35.60852,-82.56335,Private room,90,2,315,2024-11-17,2.26,1,331,22,
1684109,10 Minutes to Downtown  Epic Views!,4117051,Louise And Steve,,28805,35.60792,-82.48789,Entire home/apt,186,3,181,2025-01-01,1.30,3,331,12,
1728187,Peace and Quiet in town Pets welcome,320564,Lisa,,28801,35.60644,-82.55594,Entire home/apt,164,29,59,2024-11-09,0.45,1,286,3,
1768955,Furnished Apartment Walk to Downtown,12874214,David,,28801,35.60368,-82.55647,Entire home/apt,89,2,197,2025-01-27,1.42,2,343,34,
1851921,"Guest suite - private entrance, hot tub, walkable",1816805,Audrey,,28801,35.59467,-82.54444,Entire home/apt,,3,45,2024-02-19,0.44,1,0,0,
1879067,West Asheville - Canie Creek Getaway,313613,Alyson,,28806,35.56772,-82.61632,Entire home/apt,81,2,112,2024-12-30,2.45,1,100,18,
2072026,"The Tree House Studio, Mins to Dwntwn. Pets!",8533528,Susan,,28804,35.63821,-82.54841,Entire home/apt,94,2,428,2024-12-25,3.18,1,172,19,
2222067,Sassy Blue Room in Southslope,11336944,Sharon,,28801,35.58263,-82.55769,Entire home/apt,89,5,418,2024-10-05,3.78,1,180,14,
2254521,The Mimosa Room/private entrance/private bath.,546222,Martha,,28806,35.56766,-82.56802,Private room,85,28,36,2021-08-31,0.27,1,364,0,
2296152,"Victorian Cottage Downtown - ""Green Room Aerie”",7535860,Rita,,28801,35.60388,-82.56129,Private room,58,1,1112,2025-02-28,8.25,2,331,80,
2326086,Downtown Artist Loft,2307713,Krista,,28801,35.59541,-82.55329,Entire home/apt,116,1,884,2025-03-11,6.55,2,314,87,
2411109,"Victorian Cottage Downtown - ""Blue Room""",7535860,Rita,,28801,35.60113,-82.55785,Private room,72,1,1216,2025-02-21,9.11,2,332,66,
2454666,"The Hideaway, W. Asheville.  2 BR  w/ Hot Tub!",10240937,Joe,,28806,35.57881,-82.58688,Entire home/apt,149,2,372,2025-01-06,2.78,1,226,21,
2477628,"Sweet Sanctuary on Chicken Hill, walk to downtown!",8035294,Alicia,,28801,35.58924,-82.56835,Entire home/apt,144,60,197,2025-02-22,1.48,2,253,2,
2569529,Downtown Asheville 2 bed/2bath unit for rent,8671251,Heather,,28801,35.6011,-82.55586,Entire home/apt,,180,10,2016-07-04,0.08,1,365,0,
2949571,Happy Haven ART Studio 2 Bdrms No Cleaning Fee :),15056995,Celeste,,28806,35.59618,-82.62841,Entire home/apt,129,2,222,2020-03-18,1.69,2,364,0,
3040444,Private Suite Walk to Downtown,12874214,David,,28801,35.60329,-82.55617,Entire home/apt,69,2,705,2025-03-12,5.37,2,353,38,
3084395,Asheville Modern Tree Top Bungalow w/ fire table!,15694798,Josh,,28804,35.62443,-82.52845,Entire home/apt,104,1,360,2024-12-17,2.74,1,0,21,
3220474,Guest Room: Mountainside Private Room & Pvt. Bath,16296123,Allison & Peter,,28803,35.49167,-82.51505,Private room,40,1,945,2025-03-07,7.24,3,71,39,
3225871,Little forest 5 mins from airport,16293519,Chun,,28732,35.44101,-82.50573,Entire home/apt,,1,89,2019-09-16,0.83,1,0,0,
3314819,Basement: Mountainside Private Room & Private Bath,16296123,Allison & Peter,,28803,35.49233,-82.51495,Private room,45,1,1418,2025-03-07,10.86,3,73,117,
3369973,Nana's Place is minutes from everything!,12087030,Marie,,28803,35.58215,-82.5475,Entire home/apt,166,2,263,2025-02-17,2.49,1,269,5,
3405282,The Cabin In Grove Park,17173574,Scott & Catherine,,28801,35.61206,-82.5441,Entire home/apt,,30,24,2024-01-31,0.21,1,0,0,
3445336,Bungalow in Downtown Asheville,17363326,Michael,,28801,35.59183,-82.54626,Entire home/apt,,30,0,,,2,365,0,
3522532,Quiet Luxurious Studio-Guest House (Monthly),4846203,Zak & Iz,,28806,35.58012,-82.60522,Entire home/apt,,30,191,2024-10-21,1.49,1,12,3,
3529241,"Walk to Downtown, Mid-Century Modern",17767321,JC & Jackson,,28801,35.6037,-82.56183,Entire home/apt,55,90,374,2024-11-03,2.91,1,260,21,
3649639,Cheerful Home In Historic Downtown Asheville,18450336,Michele,,28801,35.6067,-82.56471,Entire home/apt,97,2,661,2025-02-24,5.11,2,309,35,
3868452,"Convenient Log Home: View, Hot Tub, Water Feature!",19697970,Dan,,28806,35.61334,-82.59763,Entire home/apt,196,3,237,2025-02-09,1.90,1,0,20,
